"","wage","educ","exper","hrswk","married","female","metro","midwest","south","west","black","asian"
"489",15,13,8,40,0,0,0,0,1,0,1,0
"490",25.18,13,25,43,0,0,1,0,1,0,0,0
"491",17.5,12,34,40,1,0,1,0,1,0,0,0
"492",36.8,18,10,35,0,1,1,0,1,0,0,0
"493",32.68,18,17,50,1,0,1,0,0,1,0,1
"494",28.83,16,33,37,1,1,1,0,0,0,0,0
"495",25.25,13,34,40,1,0,0,0,0,0,0,0
"496",16,10,11,40,1,0,1,0,0,0,0,0
"497",18,12,18,40,0,0,1,0,0,0,0,0
"498",14.5,12,21,40,1,1,1,0,0,1,0,0
"499",41.35,18,44,40,1,1,1,0,1,0,1,0
"500",16.25,14,29,40,1,1,1,0,1,0,0,0
"501",9,13,8,40,0,0,0,1,0,0,0,0
"502",17.71,13,28,38,1,0,1,0,0,0,0,0
"503",15.45,14,35,40,0,0,1,0,0,1,0,0
"504",23.08,12,34,40,1,0,1,0,1,0,0,0
"505",8,13,6,0,1,1,1,0,1,0,0,0
"506",13.75,12,43,40,0,0,1,0,0,0,0,0
"507",8.76,9,40,45,1,0,1,0,0,1,0,0
"508",8.78,13,16,37,0,0,1,0,0,1,0,0
"509",7.75,6,32,40,0,0,1,0,0,1,0,0
"510",28.85,16,28,40,0,1,1,0,0,0,0,0
"511",20.2,16,35,40,1,1,1,0,0,1,0,0
"512",9.23,12,38,40,0,0,1,0,1,0,0,0
"513",14,16,5,40,0,1,1,0,1,0,0,0
"514",25,12,36,40,1,0,1,0,0,1,0,0
"515",21.48,12,23,50,0,0,1,1,0,0,0,0
"516",12.97,13,6,40,0,0,1,0,1,0,0,0
"517",27,12,23,40,1,0,1,1,0,0,0,0
"518",37.5,12,25,40,0,1,1,0,1,0,1,0
"519",21.15,14,26,40,1,1,1,1,0,0,0,0
"520",2.88,13,12,40,1,0,0,0,0,1,0,0
"521",9.75,11,40,40,0,1,1,0,1,0,0,0
"522",16,12,15,40,1,1,1,0,0,1,0,0
"523",13,12,32,40,0,0,1,0,1,0,0,0
"524",48.08,21,30,60,1,0,0,1,0,0,0,0
"525",7.7,12,38,40,1,1,1,0,1,0,0,0
"526",22.6,18,18,40,1,1,0,0,1,0,0,0
"527",5.73,6,45,15,0,1,1,0,0,1,0,0
"528",14.4,12,42,40,1,0,1,0,0,0,0,0
"529",33.5,12,13,40,1,0,1,0,1,0,0,0
"530",18.82,11,42,40,0,0,0,0,1,0,1,0
"531",17.5,12,11,40,1,0,1,0,0,1,0,0
"532",11,16,20,8,1,1,1,0,0,0,0,0
"533",9.35,16,40,40,1,1,1,1,0,0,0,0
"534",16.25,6,39,40,1,0,1,0,1,0,0,0
"535",9.5,13,46,38,1,1,1,0,1,0,0,0
"536",76.39,14,20,36,0,1,1,0,1,0,0,0
"537",36.67,18,25,48,0,1,1,0,0,1,0,0
"538",9,18,44,40,0,0,1,1,0,0,0,0
"539",51.52,13,14,56,1,0,1,0,0,1,0,0
"540",15,21,18,40,1,1,1,0,0,1,0,0
"541",38.75,18,23,40,0,1,1,1,0,0,0,0
"542",15.38,16,7,50,1,1,1,0,0,0,0,0
"543",43.28,21,12,40,1,0,1,0,0,0,0,1
"544",17.3,16,17,40,1,0,1,0,1,0,0,0
"545",33.65,16,20,40,1,0,1,1,0,0,1,0
"546",2.5,12,46,40,1,1,1,0,0,1,0,0
"547",16.25,12,35,40,1,0,1,0,0,0,0,0
"548",14.6,12,28,40,0,1,0,1,0,0,0,0
"549",12.5,16,4,40,0,1,1,0,0,0,0,0
"550",36.05,21,31,40,1,1,1,0,0,1,0,0
"551",19.23,12,31,40,1,0,1,0,0,0,0,0
"552",9.24,12,34,38,1,1,0,0,0,1,0,0
"553",9.15,13,8,40,0,1,0,1,0,0,0,0
"554",36.05,16,32,40,1,0,1,0,0,0,0,0
"555",16.25,12,10,40,0,0,1,0,1,0,0,0
"556",14.55,12,19,55,1,0,0,1,0,0,0,0
"557",29.4,21,31,40,1,1,1,1,0,0,0,1
"558",50.03,13,39,45,0,1,1,0,0,0,0,0
"559",28,16,30,12,1,1,1,0,0,0,0,0
"560",28.83,16,11,40,1,1,1,0,1,0,0,0
"561",72.13,16,41,40,1,0,1,0,1,0,0,0
"562",13,16,37,55,1,0,1,0,0,1,0,0
"563",6.14,11,51,22,1,1,1,0,1,0,0,0
"564",36.33,16,24,36,1,1,1,0,0,1,0,0
"565",18.06,12,35,36,1,0,0,0,1,0,1,0
"566",22.64,14,33,45,1,0,0,0,0,0,0,0
"567",15,14,20,40,1,0,0,0,0,1,0,0
"568",42.11,16,44,38,1,0,1,0,1,0,0,0
"569",13.8,13,41,40,1,1,1,0,0,1,0,0
"570",55,16,30,40,1,0,1,0,0,0,0,0
"571",10.4,13,18,30,1,1,0,0,0,0,0,0
"572",24.03,16,35,40,1,0,1,1,0,0,0,0
"573",20.63,16,30,40,1,1,0,0,1,0,0,0
"574",12.5,16,49,40,1,1,1,0,1,0,0,0
"575",24.95,13,19,37,1,1,0,1,0,0,0,0
"576",23.49,16,10,45,0,0,1,0,1,0,0,0
"577",28,14,36,50,1,1,0,1,0,0,0,0
"578",9.5,13,35,40,0,0,1,0,1,0,0,0
"579",34.63,14,31,40,1,0,1,0,0,1,0,1
"580",48.55,16,14,40,1,1,1,0,0,0,0,0
"581",8.06,13,13,36,0,1,0,1,0,0,0,0
"582",17.36,13,36,36,1,0,0,1,0,0,0,0
"583",28.44,14,42,45,1,0,0,0,0,1,0,0
"584",35.75,14,27,32,1,1,0,0,0,0,0,0
"585",13.95,14,20,40,1,0,0,0,0,0,0,0
"586",9,12,16,40,0,0,0,1,0,0,0,0
"587",21,13,41,40,0,0,1,0,1,0,0,0
"588",20,12,12,40,1,0,0,0,1,0,0,0
"589",8.33,13,5,40,1,1,0,1,0,0,0,0
"590",65.98,21,37,40,1,0,0,1,0,0,0,0
"591",13,12,42,24,1,0,0,0,1,0,0,0
"592",21.33,12,20,40,1,0,1,0,1,0,0,0
"593",15,16,38,40,1,1,0,0,0,0,0,0
"594",8.1,11,47,40,1,1,1,0,0,0,0,0
"595",15,9,23,50,1,0,0,0,0,0,0,0
"596",15,12,34,40,1,0,0,0,0,0,0,0
"597",18.75,18,11,40,1,0,0,0,0,1,0,0
"598",9.78,12,6,40,0,1,0,0,0,1,0,0
"599",9.83,12,27,28,1,1,0,1,0,0,0,0
"600",10,12,23,40,1,1,1,0,0,1,0,0
"601",12.5,12,36,40,1,0,1,0,0,0,1,0
"602",30.44,16,2,36,1,1,0,0,1,0,0,0
"603",12.5,13,8,35,0,1,1,1,0,0,0,0
"604",13.45,12,14,40,0,1,1,0,1,0,1,0
"605",29.8,13,42,40,1,0,1,0,1,0,0,0
"606",26.78,16,5,40,0,1,1,0,1,0,1,0
"607",10,18,11,40,0,1,1,0,1,0,0,1
"608",21.52,18,22,50,1,0,1,0,0,0,0,0
"609",12.87,12,48,22,1,0,0,0,1,0,0,0
"610",22.5,16,32,40,1,1,1,0,0,1,0,0
"611",15,12,40,36,1,1,1,0,1,0,0,0
"612",24.79,12,32,70,1,0,0,0,0,1,0,0
"613",6.66,12,21,30,0,1,0,1,0,0,0,0
"614",10.73,14,48,40,1,1,0,1,0,0,0,0
"615",10.5,12,33,40,0,0,1,1,0,0,0,0
"616",13.16,10,40,40,1,1,0,0,1,0,0,0
"617",9.75,12,8,40,0,1,1,0,1,0,1,0
"618",17,12,31,40,1,1,0,1,0,0,0,0
"619",36.05,14,23,40,1,0,1,1,0,0,0,0
"620",41.54,16,22,40,0,0,1,0,1,0,1,0
"621",34.18,12,42,45,0,1,1,0,1,0,0,0
"622",50,18,33,40,1,1,1,1,0,0,0,0
"623",6.73,12,14,40,1,1,1,1,0,0,1,0
"624",6.38,18,37,65,1,0,1,0,1,0,0,0
"625",20.6,16,26,47,1,0,0,0,1,0,0,0
"626",6.75,12,14,50,0,1,0,1,0,0,0,0
"627",10,13,8,55,0,1,0,0,0,0,0,0
"628",26.78,12,39,40,1,0,0,1,0,0,0,0
"629",72.13,18,38,40,1,0,1,0,0,0,0,0
"630",21.63,16,38,40,0,0,1,0,0,1,0,0
"631",44.23,18,27,40,0,1,1,0,0,0,0,0
"632",17.35,13,33,40,1,1,1,1,0,0,0,0
"633",25.73,14,29,38,1,0,1,0,0,0,0,0
"634",50,16,9,40,1,0,1,0,1,0,0,0
"635",20,14,13,40,1,0,1,0,0,1,0,0
"636",8,12,25,35,0,1,1,1,0,0,0,0
"637",34.63,14,19,40,0,1,1,0,1,0,0,0
"638",9.5,13,53,30,1,1,1,0,0,1,0,0
"639",7.7,3,19,40,0,0,1,0,1,0,0,0
"640",9,16,3,40,0,1,0,0,0,0,0,0
"641",16,13,38,40,1,0,1,0,0,1,0,0
"642",8.75,12,20,40,1,0,1,0,0,1,1,0
"643",11,12,28,42,1,0,0,0,0,1,0,0
"644",13.82,16,37,50,0,1,1,0,1,0,0,0
"645",13.1,12,17,40,1,1,1,0,0,1,1,0
"646",19.23,14,35,40,1,0,0,1,0,0,0,0
"647",18.45,12,32,40,1,1,1,0,0,1,0,0
"648",14.43,13,48,52,1,0,1,0,1,0,0,0
"649",21.93,16,17,80,1,0,1,0,0,1,0,1
"650",16.1,14,29,40,1,1,1,0,0,0,0,0
"651",14.5,13,32,40,0,0,1,0,1,0,1,0
"652",15.71,16,38,35,0,1,1,0,0,0,0,0
"653",28.18,12,6,40,0,0,1,0,0,0,0,0
"654",28.85,14,27,40,1,0,1,0,0,0,0,0
"655",57.7,16,28,50,1,0,1,0,1,0,0,0
"656",28.85,18,39,40,1,0,1,0,1,0,0,0
"657",23.08,13,37,40,1,1,1,0,0,0,0,0
"658",25.25,18,27,40,1,1,1,1,0,0,0,0
"659",15,12,33,40,0,1,1,0,0,1,0,1
"660",23.08,16,20,62,1,0,0,0,0,1,0,0
"661",21.88,13,37,40,1,0,1,0,1,0,0,0
"662",8.26,12,9,35,0,1,1,0,0,1,0,0
"663",12.03,16,20,50,1,0,1,0,1,0,0,1
"664",8.5,12,27,56,0,0,1,1,0,0,1,0
"665",40,16,22,20,1,1,1,0,1,0,0,0
"666",30,6,18,40,1,0,0,0,0,1,0,0
"667",28,21,14,5,1,1,1,1,0,0,0,0
"668",9.5,12,15,40,0,0,0,0,0,0,0,0
"669",23.07,16,8,30,0,0,1,0,0,1,0,0
"670",22.3,16,24,15,0,1,1,0,0,0,0,0
"671",7.52,12,6,40,1,1,1,0,1,0,0,0
"672",38.45,18,41,50,1,0,1,0,0,1,0,1
"673",18.75,8,22,40,1,0,1,0,0,1,0,0
"674",2.52,12,22,20,1,1,1,1,0,0,0,0
"675",26.14,12,39,44,1,0,0,1,0,0,0,0
"676",36.06,13,34,80,1,0,1,1,0,0,0,0
"677",12,16,19,40,1,1,1,0,0,1,0,1
"678",15.38,14,30,50,1,0,1,0,0,0,0,0
"679",16.23,12,12,45,0,0,1,1,0,0,0,0
"680",31.25,16,15,40,0,1,1,0,0,0,0,0
"681",20,14,24,40,0,0,1,0,1,0,0,0
"682",10.38,13,24,40,1,1,1,0,1,0,0,0
"683",9.48,12,15,42,0,1,1,0,1,0,0,0
"684",25,13,11,40,1,1,1,0,1,0,0,0
"685",10.49,14,14,45,1,0,1,1,0,0,0,0
"686",11.5,12,9,40,0,0,1,0,0,0,0,0
"687",8,12,60,33,0,0,1,0,0,0,0,0
"688",14.5,16,9,40,0,1,1,0,0,1,1,0
"689",38.45,18,21,40,1,0,1,0,1,0,1,0
"690",11.5,11,20,40,0,0,0,0,0,1,0,0
"691",45.65,8,31,40,0,0,1,0,0,0,0,0
"692",14,12,30,40,0,1,1,0,1,0,1,0
"693",5.33,12,62,30,1,0,1,0,0,0,0,0
"694",12.9,16,9,40,0,1,1,0,0,1,0,0
"695",23.63,16,20,40,1,1,1,0,1,0,0,0
"696",30.3,16,33,40,0,1,1,1,0,0,0,0
"697",20.2,16,14,40,1,1,1,0,1,0,0,0
"698",31.25,18,18,52,1,0,1,0,0,0,0,1
"699",26.44,13,8,32,0,0,1,1,0,0,0,0
"700",23,12,39,40,1,1,1,0,0,1,0,0
"701",32.68,14,40,40,1,0,1,0,1,0,1,0
"702",18.25,13,27,55,1,0,1,0,0,1,0,0
"703",20.2,12,13,40,1,0,1,0,0,0,0,0
"704",22.6,12,32,40,1,1,1,0,0,1,0,0
"705",7.45,10,28,40,1,0,1,0,1,0,1,0
"706",13,12,56,20,1,0,1,0,1,0,0,0
"707",8,12,49,25,0,1,1,0,0,1,0,0
"708",26.1,12,10,40,0,0,1,0,0,1,0,0
"709",46.16,16,18,50,1,1,1,0,1,0,0,0
"710",8,12,13,36,0,0,1,0,0,0,1,0
"711",16,12,38,40,1,1,0,0,0,1,0,0
"712",8.76,16,32,25,1,1,1,0,0,0,0,0
"713",33.65,12,22,40,1,0,0,1,0,0,0,0
"714",11.78,13,39,40,0,1,1,0,1,0,0,0
"715",47.62,18,42,50,1,1,1,0,0,0,0,0
"716",24.45,12,36,50,0,0,1,1,0,0,0,0
"717",34.18,16,28,40,1,1,1,0,0,0,0,0
"718",31.73,16,21,40,0,0,1,0,0,0,0,1
"719",18.45,12,45,40,1,0,1,1,0,0,0,0
"720",34.62,13,32,50,1,0,1,0,0,0,0,0
"721",21.36,12,38,42,1,0,0,0,0,1,0,0
"722",38.46,18,23,50,0,0,1,1,0,0,0,0
"723",2.3,16,41,50,1,0,1,0,1,0,0,0
"724",22.65,13,34,40,0,1,1,1,0,0,0,0
"725",4.33,8,20,40,1,0,1,0,0,1,0,0
"726",31.25,18,10,40,0,0,1,0,1,0,0,1
"727",8.5,14,4,6,0,1,1,1,0,0,0,0
"728",22.76,13,43,50,0,1,1,0,1,0,0,0
"729",19.55,12,28,40,0,0,1,1,0,0,0,0
"730",17.96,14,29,45,1,0,1,0,0,0,0,0
"731",24.04,12,16,40,0,0,1,0,1,0,0,0
"732",44.24,12,42,40,0,1,1,0,0,0,0,0
"733",31.88,14,39,40,0,1,1,0,0,1,0,0
"734",28.83,21,39,60,0,1,0,0,0,1,0,0
"735",39.9,14,28,40,0,1,1,0,0,1,0,0
"736",61.82,18,39,40,1,1,1,0,1,0,0,0
"737",25.38,16,8,40,1,1,1,0,1,0,0,1
"738",12,16,39,40,0,1,1,0,1,0,1,0
"739",8.65,16,14,40,1,0,1,0,1,0,0,0
"740",38.45,16,33,40,1,1,1,0,0,0,0,0
"741",38.45,10,53,40,1,0,1,1,0,0,0,0
"742",7.2,12,9,25,0,1,0,1,0,0,1,0
"743",7.5,13,6,25,0,0,1,1,0,0,0,0
"744",25,14,24,40,0,0,1,0,0,1,0,0
"745",18.48,16,31,40,1,0,0,0,1,0,0,0
"746",61.54,18,26,35,1,1,1,0,0,1,0,0
"747",15.8,12,24,40,0,1,1,0,1,0,1,0
"748",39.43,12,32,40,1,0,1,0,1,0,0,0
"749",10,12,46,40,1,0,1,0,1,0,0,0
"750",6.25,21,11,40,1,1,1,1,0,0,0,1
"751",28.85,18,34,45,1,1,1,0,0,0,0,0
"752",15.33,12,31,40,0,0,1,0,1,0,1,0
"753",23.3,18,40,40,1,0,1,0,0,1,0,0
"754",9,12,9,40,0,0,1,0,0,0,0,0
"755",21.8,13,28,40,1,0,0,0,0,1,0,0
"756",15.33,12,22,40,0,0,1,0,1,0,1,0
"757",10,12,11,50,0,0,1,0,0,0,0,0
"758",20.17,16,45,12,1,1,0,0,0,1,0,0
"759",25.64,16,15,45,1,1,1,0,1,0,0,0
"760",10.5,13,41,40,1,0,1,0,1,0,0,0
"761",10.38,13,44,40,1,1,0,0,0,1,0,0
"762",16.83,16,24,40,1,1,1,0,1,0,0,0
"763",15.75,12,39,42,0,1,1,1,0,0,0,0
"764",19.24,14,34,50,1,0,1,0,1,0,0,0
"765",8.65,12,28,40,0,0,1,0,0,1,1,0
"766",10.85,16,26,40,1,1,0,1,0,0,0,0
"767",18.7,13,47,40,1,1,1,1,0,0,0,0
"768",16.22,11,26,45,1,0,1,0,0,1,0,0
"769",9,9,24,12,0,0,1,0,0,0,0,0
"770",12,12,13,35,0,1,0,0,0,0,0,0
"771",6.77,12,23,10,1,1,0,1,0,0,0,0
"772",20.13,14,35,40,0,0,1,0,1,0,0,0
"773",15,13,22,40,1,1,1,1,0,0,0,0
"774",10,12,26,36,1,1,0,1,0,0,0,0
"775",12,12,38,40,0,1,1,1,0,0,1,0
"776",17.96,16,19,45,0,1,1,0,1,0,1,0
"777",37.6,16,31,35,0,1,1,0,0,1,0,0
"778",14.43,13,9,40,1,1,1,0,0,1,0,0
"779",42,16,28,60,1,0,1,0,0,1,0,0
"780",41.52,13,30,0,1,1,1,1,0,0,0,1
"781",23.08,16,25,40,1,0,1,0,0,1,0,1
"782",24.53,16,13,40,0,0,1,1,0,0,0,0
"783",9.52,13,30,25,1,1,1,0,0,1,0,0
"784",12,16,28,15,1,1,0,0,0,1,0,0
"785",13.8,12,48,40,0,1,1,0,0,0,0,0
"786",42,13,21,40,0,1,1,0,1,0,1,0
"787",10.55,12,7,38,0,0,1,0,1,0,1,0
"788",10,13,10,40,0,1,1,0,0,1,0,0
"789",12.75,14,35,40,1,1,0,0,0,1,0,0
"790",8.75,12,40,40,1,1,1,0,0,0,0,0
"791",28.85,16,12,52,1,1,1,0,0,0,0,0
"792",25,16,4,0,0,0,1,0,1,0,0,0
"793",25,18,26,20,1,1,1,0,1,0,0,0
"794",25,16,11,50,0,0,1,1,0,0,0,0
"795",9,12,29,32,1,1,1,1,0,0,0,0
"796",72.13,18,43,32,0,1,1,0,0,0,1,0
"797",21.03,16,22,40,0,0,1,0,1,0,1,0
"798",35.23,16,42,40,1,0,0,1,0,0,0,0
"799",9.4,12,61,40,0,1,0,0,1,0,1,0
"800",12.5,13,7,40,0,0,1,1,0,0,0,0
"801",37.5,14,56,24,1,1,1,0,1,0,0,0
"802",6.5,12,54,20,1,1,0,1,0,0,0,0
"803",52.5,13,27,40,0,0,1,0,1,0,1,0
"804",7.5,14,17,8,0,1,1,0,0,0,1,0
"805",31.25,16,10,45,0,1,1,0,0,0,0,0
"806",25,18,11,40,1,0,1,0,0,0,0,0
"807",10.48,12,40,40,0,1,1,0,0,1,1,0
"808",17.75,12,22,40,1,0,1,0,1,0,0,0
"809",13,13,37,42,0,0,1,0,0,1,1,0
"810",5.97,12,43,55,0,1,1,0,1,0,0,0
"811",25,21,27,40,1,0,0,0,0,1,0,0
"812",18.5,13,37,40,1,0,1,1,0,0,0,0
"813",11.55,11,19,40,0,0,1,0,1,0,0,1
"814",44.87,16,24,60,1,0,1,0,0,1,0,0
"815",7.4,8,16,40,1,0,0,0,1,0,0,0
"816",11.85,12,50,40,0,1,0,0,1,0,0,0
"817",24.17,16,23,52,0,0,1,0,1,0,0,0
"818",7.2,14,15,20,0,0,1,1,0,0,0,0
"819",18.18,13,18,55,1,0,1,1,0,0,0,0
"820",14,12,20,40,1,0,1,0,0,1,0,0
"821",36.05,13,19,68,0,0,0,1,0,0,0,0
"822",13.61,12,22,36,1,0,0,1,0,0,0,0
"823",34.63,16,8,40,1,0,1,1,0,0,0,0
"824",17.3,16,10,40,0,0,1,0,1,0,0,0
"825",14,14,58,16,0,1,1,0,0,1,1,0
"826",29.9,18,44,60,1,0,0,0,0,0,0,0
"827",15,13,11,40,0,0,1,0,0,1,0,0
"828",16.14,18,7,50,1,1,1,1,0,0,0,0
"829",38,16,15,40,1,1,1,0,1,0,0,0
"830",7.98,12,19,80,1,0,1,0,0,1,0,0
"831",24.03,18,23,40,1,0,0,1,0,0,0,0
"832",23.51,21,31,45,1,1,0,0,1,0,0,0
"833",22.43,21,20,60,1,0,1,1,0,0,0,0
"834",15.75,13,41,40,0,0,1,1,0,0,0,0
"835",11.5,13,51,20,1,1,1,0,1,0,0,0
"836",21.63,18,32,40,1,0,1,0,1,0,0,0
"837",45.45,18,42,55,1,0,1,0,0,0,0,0
"838",35.63,12,22,40,1,0,0,0,0,0,0,0
"839",19.05,9,38,40,1,0,1,0,0,1,0,0
"840",30.63,13,28,40,1,0,1,0,1,0,0,0
"841",16.35,14,35,40,1,1,0,1,0,0,0,0
"842",12.4,12,11,40,1,1,1,0,1,0,0,0
"843",31.25,12,21,40,1,0,1,0,0,1,0,0
"844",14.1,14,38,40,0,1,1,0,0,0,1,0
"845",24,14,28,30,1,1,1,0,0,0,0,0
"846",27.49,16,30,40,1,1,1,0,0,0,0,0
"847",7.9,12,40,40,0,0,0,0,1,0,0,0
"848",11,12,15,30,0,1,1,0,0,0,0,0
"849",16.83,12,38,40,0,0,0,1,0,0,0,0
"850",57.68,16,35,22,1,1,1,0,0,1,0,0
"851",11,16,5,40,0,0,1,1,0,0,0,0
"852",6.4,12,27,30,1,1,1,1,0,0,0,0
"853",16.83,14,23,40,0,0,1,0,1,0,0,0
"854",19.58,11,36,45,1,0,1,0,1,0,0,0
"855",28.52,12,24,75,0,1,1,0,0,0,0,0
"856",12,12,30,40,1,0,0,1,0,0,0,0
"857",21.15,13,23,40,1,0,1,1,0,0,0,0
"858",14.9,12,36,45,1,1,1,0,1,0,0,0
"859",14.26,12,28,43,1,1,1,0,0,0,0,0
"860",8.15,11,46,38,1,1,0,1,0,0,0,0
"861",32.3,16,29,50,1,0,1,0,0,1,0,0
"862",7,12,12,30,1,1,0,0,0,0,0,0
"863",22.5,12,22,40,1,0,1,1,0,0,0,0
"864",30,13,35,40,1,1,1,0,1,0,0,0
"865",24.14,16,14,40,1,0,1,1,0,0,0,0
"866",72.13,18,36,40,1,1,1,0,0,1,0,0
"867",11.8,14,23,40,1,1,1,0,0,1,0,0
"868",60.1,18,31,48,1,0,1,0,1,0,0,0
"869",19.23,12,10,40,0,0,1,0,0,0,0,0
"870",12.82,16,7,45,0,1,0,1,0,0,0,0
"871",15,16,11,36,1,1,1,0,1,0,0,0
"872",21.25,14,10,40,0,1,0,0,0,0,0,0
"873",11.51,6,16,40,0,0,0,0,0,1,0,0
"874",28.83,12,20,40,1,0,1,0,0,0,0,0
"875",25.64,21,19,75,1,0,1,0,1,0,0,0
"876",12.26,16,23,34,1,1,1,1,0,0,0,0
"877",10,12,23,40,1,0,1,1,0,0,1,0
"878",8,12,8,50,0,0,0,0,0,0,0,0
"879",25.48,16,34,40,1,0,1,0,1,0,1,0
"880",52.88,21,39,40,1,1,1,0,1,0,0,0
"881",19.22,16,44,60,1,0,1,0,0,0,0,0
"882",19.23,18,14,40,1,1,1,0,0,0,0,0
"883",15,12,32,40,0,0,0,1,0,0,0,0
"884",19.23,16,37,40,0,1,0,1,0,0,0,0
"885",23.58,13,35,40,1,0,1,0,0,1,0,0
"886",4.58,12,38,48,0,1,1,1,0,0,0,0
"887",9,12,31,40,1,1,1,0,0,0,0,0
"888",15,12,14,40,1,0,1,0,0,1,0,0
"889",25,13,36,40,1,1,1,1,0,0,0,0
"890",29.8,18,37,40,0,1,1,0,0,0,0,0
"891",64.11,18,21,45,0,0,1,0,1,0,0,0
"892",19.23,14,24,40,1,1,1,0,0,0,0,0
"893",27.4,12,23,35,0,0,1,0,0,1,0,0
"894",21.63,12,26,40,1,0,1,1,0,0,0,0
"895",10,12,32,60,0,1,1,1,0,0,0,0
"896",11.55,13,25,60,0,1,1,0,1,0,1,0
"897",38.45,16,10,40,0,0,1,0,0,0,0,0
"898",17,12,8,40,0,0,0,1,0,0,0,0
"899",64.11,16,32,48,1,0,1,0,0,1,0,0
"900",28.1,14,28,39,1,1,1,1,0,0,0,0
"901",21.25,8,22,40,1,0,1,0,0,0,0,0
"902",10.58,12,23,40,0,1,1,0,0,0,0,0
"903",16.67,10,44,6,1,1,1,0,1,0,0,1
"904",31.75,16,8,40,1,1,1,1,0,0,0,0
"905",25.75,13,29,40,0,0,0,1,0,0,0,0
"906",17.42,13,48,45,1,0,0,0,1,0,0,0
"907",21.63,16,42,45,0,1,0,0,1,0,0,0
"908",7.97,13,20,33,0,1,0,0,0,0,0,0
"909",48.08,18,26,40,0,0,1,0,1,0,0,0
"910",21.25,16,13,40,0,0,1,0,1,0,0,0
"911",10,14,22,25,0,1,0,0,0,0,0,0
"912",19.63,12,38,40,0,0,0,1,0,0,0,0
"913",16,12,54,40,0,1,1,0,0,0,1,0
"914",19.23,16,25,48,1,0,1,0,0,0,0,0
"915",28.85,12,38,40,0,0,1,0,0,0,0,0
"916",8.5,12,39,40,0,1,1,0,1,0,1,0
"917",60,14,37,40,1,0,1,1,0,0,0,0
"918",9.63,12,35,52,0,1,1,0,0,0,0,0
"919",9,13,10,40,1,0,0,1,0,0,0,0
"920",37.18,12,20,60,1,0,1,1,0,0,0,0
"921",33.65,13,27,40,1,0,1,1,0,0,0,0
"922",16.25,12,42,40,0,1,1,0,0,0,0,0
"923",14.43,16,9,40,0,0,1,0,1,0,0,0
"924",10,12,15,40,1,0,1,1,0,0,0,1
"925",19.23,16,3,40,0,1,1,1,0,0,0,0
"926",19.23,18,30,40,1,0,1,0,0,0,0,0
"927",7,11,44,20,1,1,1,0,1,0,0,0
"928",24.03,21,17,65,1,0,1,0,1,0,0,0
"929",7.57,13,6,30,1,1,0,1,0,0,0,0
"930",12.5,12,22,40,0,1,1,0,1,0,0,0
"931",11.4,13,15,40,0,0,1,1,0,0,0,0
"932",13,16,50,5,1,1,1,1,0,0,0,0
"933",25,12,33,40,1,0,0,0,0,1,0,0
"934",22.13,12,34,40,1,0,1,0,0,0,0,0
"935",13.5,13,39,28,0,0,1,0,1,0,1,0
"936",8,12,7,40,0,1,1,0,0,1,1,0
"937",11.25,12,16,40,1,0,1,0,1,0,1,0
"938",14.43,12,36,40,1,1,1,0,0,1,0,0
"939",9.8,18,46,40,1,1,1,0,1,0,0,0
"940",17.3,12,44,40,0,1,1,0,0,1,0,0
"941",8,12,7,40,0,0,1,0,1,0,1,0
"942",35.76,16,17,40,1,0,1,1,0,0,0,0
"943",10,12,31,40,0,1,0,0,1,0,0,0
"944",19.23,16,28,40,0,1,1,0,0,1,0,1
"945",20,14,29,40,0,0,1,0,0,0,0,1
"946",10.25,16,38,40,1,1,1,0,0,0,0,0
"947",17.63,12,15,60,0,1,1,1,0,0,0,0
"948",14.53,13,47,40,0,1,1,0,0,0,0,0
"949",5.9,14,4,10,0,1,0,1,0,0,0,0
"950",18.46,12,12,38,0,1,0,1,0,0,0,0
"951",39.33,12,32,40,1,0,1,0,0,1,0,0
"952",7.5,11,38,30,1,1,0,0,0,0,0,0
"953",16,18,16,40,1,1,1,1,0,0,1,0
"954",14.5,13,27,32,1,1,0,0,0,1,0,0
"955",62.03,16,44,40,0,0,1,0,0,0,0,0
"956",16.35,12,25,40,1,0,0,0,1,0,0,0
"957",24.44,12,24,45,1,0,0,0,0,0,0,0
"958",17,13,15,40,0,0,1,1,0,0,1,0
"959",14.96,16,11,55,0,1,1,0,0,0,0,0
"960",67.3,12,42,40,1,0,1,0,1,0,0,0
"961",21,13,32,50,1,0,1,0,1,0,0,0
"962",20.4,16,4,40,0,0,1,0,0,1,0,1
"963",16,10,16,50,1,0,1,0,1,0,0,0
"964",12.82,14,22,45,0,1,1,0,0,1,0,1
"965",20,18,11,40,1,1,1,0,1,0,1,0
"966",12,12,18,40,1,0,0,0,0,0,0,0
"967",35.1,16,22,40,1,0,1,0,0,1,0,1
"968",12.5,13,13,40,1,1,1,0,0,1,0,0
"969",31.73,16,30,40,0,1,1,0,1,0,1,0
"970",12.38,8,63,42,1,0,0,0,1,0,0,0
"971",12.5,12,35,40,1,1,1,0,0,1,0,0
"972",21,14,19,40,0,0,1,0,0,1,0,0
"973",21.38,13,11,40,0,0,1,1,0,0,0,0
"974",12.5,12,8,40,1,0,1,1,0,0,0,0
"975",57.7,12,26,40,0,1,1,0,0,1,0,0
"976",29.76,13,41,42,1,0,1,1,0,0,0,0
"977",18,12,9,40,0,0,0,1,0,0,0,0
